学生,学生ID,学科,知识点ID,知识点,答题次数,正确次数,错误次数,连续错误次数,连续正确次数,正确率,状态,最近更新时间
李悦嘉,S001,语文,Y101,字音字形,5,4,1,0,4,80%,已掌握,2026-07-09 21:03:50
李悦嘉,S001,语文,Y104,古诗文默写,5,5,0,0,5,100%,已掌握,2026-07-09 21:03:50
李悦嘉,S001,语文,Y201,信息提取,5,3,2,0,3,60%,已掌握,2026-07-09 21:03:50
李悦嘉,S001,语文,Y401,句子赏析,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:50
李悦嘉,S001,语文,Y105,写作表达,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:50
李悦嘉,S001,数学,M001,有理数混合运算,5,5,0,0,5,100%,已掌握,2026-07-09 21:03:46
李悦嘉,S001,数学,M002,绝对值,5,5,0,0,5,100%,已掌握,2026-07-09 21:03:46
李悦嘉,S001,数学,M106,合并同类项,5,5,0,0,5,100%,已掌握,2026-07-09 21:03:46
李悦嘉,S001,数学,M109,一元一次方程,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:46
李悦嘉,S001,数学,M203,因式分解,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:46
李悦嘉,S001,数学,M303,全等三角形,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:46
李悦嘉,S001,数学,M403,勾股定理,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:46
李悦嘉,S001,数学,M407,一次函数,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:46
李悦嘉,S001,数学,M409,一次函数应用,5,2,3,0,2,40%,已掌握,2026-07-09 21:03:46
李悦嘉,S001,数学,M501,一元二次方程基础,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:46
李悦嘉,S001,英语,E103,一般现在时,4,3,1,0,3,75%,已掌握,2026-07-09 21:03:54
李悦嘉,S001,英语,E202,一般过去时,4,3,1,0,3,75%,已掌握,2026-07-09 21:03:54
李悦嘉,S001,英语,E404,宾语从句,4,3,1,0,3,75%,已掌握,2026-07-09 21:03:54
李悦嘉,S001,英语,E105,阅读信息提取,4,3,1,0,3,75%,已掌握,2026-07-09 21:03:54
李悦嘉,S001,英语,E203,句子翻译,4,0,4,4,0,0%,重点薄弱,2026-07-09 21:03:54
李悦嘉,S001,英语,E406,英语写作,4,0,4,4,0,0%,重点薄弱,2026-07-09 21:03:54
李悦嘉,S001,物理,P002,速度公式,5,4,1,0,4,80%,已掌握,2026-07-09 21:03:41
李悦嘉,S001,物理,P004,声音传播,5,4,1,0,4,80%,已掌握,2026-07-09 21:03:41
李悦嘉,S001,物理,P106,平面镜成像,5,4,1,0,4,80%,已掌握,2026-07-09 21:03:41
李悦嘉,S001,物理,P203,二力平衡,5,4,1,0,4,80%,已掌握,2026-07-09 21:03:41
李悦嘉,S001,物理,P205,压强计算,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:41
李悦嘉,S001,物理,P208,浮力基础,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:41
李悦嘉,S001,物理,P301,功的计算,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:41
李悦嘉,S001,物理,P302,功率基础,5,0,5,5,0,0%,重点薄弱,2026-07-09 21:03:41
